Species	Fruit color	Fruit size (mm)	Leaf Shape	Leaf Size (mm)	Other	Flower color	Location abb	Location full	Habit	Shortest observation (m)	Tallest observation (m)
Vaccinium darrowii	Blue, purple, black	4-6mm	bell shaped	10-15mm length	Pine forest. branches have light pink tips	white	SE US	LA, MS, AL, GA, FL	shrub	0.3	1
Vaccinium elliottii	blue, black	5-8mm	simple ovoid-acute	15-30mm length	leaf has finely serrated margin, coastal plains	pink, white	SE US	LA, MS, AL, GA, FL, SC, NC, VA, AK, TX, TN 	shrub	2	4
Vaccinium floribundum	blue, black	8-12mm	short, rounded	10mm	Mountainous areas	white, pink	NW South America	Northern Andes in Bolivia, Colombia, Ecuador, Peru, and Venezuela. 	shrub	2	4
Vaccinium formosum	blue, black	6.4-12.7mm	elliptical	5cm length		white	East Coast US	FL, AL, GA, SC, NC, VA, MD, NJ	shrub		
Vaccinium fuscatum	blue/black	8mm	simple leaf	15-70mm length, 10-25mm width	shrub	white	East US	MI, IN, OH, NY, NH, VT, ME, RI, CT, DE, VA, NC, SC, TN, KY, GA, MS, AL, TX, OK, AK, LA, FL	shrub	2	2
Vaccinium glaucoalbum	black, white	8mm	ovate	38.1-63.5 mm length, 30 mm width	2' tall	pinkish-white to pinkish red	SE Asia	Native to Nepal, east Himalaya, and Myanmar, and Tibet and Yunnan in China 	shrub	0.5	1
Vaccinium macrocarpon	red	10-20  mm		7.6 - 16.7 mm length	habitat wetlands, shrub	white to pink	Coastal / midwest US/Canada	WA,OR,CA,MN,WI,MI,IN,IL,OH,TN,NC,VA,WV,MD,PA,NJ,NY,CT,RI,MA,NH,VT,ME	shrub		
Vaccinium oxycoccos	pink, red	12 mm	lance-shaped	10 mm length	small shrub, moist soil	light pink to red	All Canada/Greenland / Coastal / midwest US		shrub	0.07	0.15
Vaccinium moupinese	black, red	6mm	elliptic-oblong	6-12 mm length		red-brown, white	China	China, western sichuan	shrub	0.3	0.9
Vaccinium myrsinites	blue, black	8-9mm	oval	10 mm		white to pink or red-tinged	SE US	AL,GA,SC,FL	shrub	0.4	0.6
Vaccinium myrtilloides	blue	2.5-3.3mm	elliptical	8-18mm, 18-50mm	shrub, up to 50cm tall, growing on stumps and logs	white	NE US, midwest	OR,MT,MN,IA,WI,MI,IL, etc	shrub	0.5	0.5
Vaccinium ovatum	blue, black, purple 	10mm	oval - lanceolate	20-50mm length	Woodland plant	pink, white	West coast US / Canada	OR,WA,CA	shrub	1.37	2
Vaccinium virgatum	blue, black	25.4mm	elliptical, obovate	25.4-76.2mm	3-6 ft tall shrub	white	Southeastern US	TX, FL, MS, AL, GA, AR, LA, SC, NC	shrub	1	2
Vaccinium varingifolium	blue, black, purple, burgundy	25.4mm	elliptical, ovate	25.4-76.2mm	found on mossy logs. "The absence of anther-tubes suggests that it may not belong to the genus Vaccinium."	pink, purple	Pacific coast and west slopes	AK, CA, OR, WA	shrub		
Vaccinium vacillans	blue, black	25.4mm	elliptical, ovate, obovate	25.4-76.2mm	dry woodlands	red/orange in fall and pinkish, white	Easter N America	Ont, ME, NY, VA, OH, KY, TN, MI, WI, GA, AL, MS, AR, OK, MO, IL, IN, MN, SC, NC, PA, WV, MD, NJ, DE, CT, MA, VT, ME, NH,	shrub	0.25	0.75
Vaccinium uliginosum	blue, black, purple, burgundy	8 mm	elliptical, ovate	25.4-76.2mm	bog conditions	pale pink, white	North America, Europe, and central Asia		shrub	0.09	0.3
Vaccinium padifolium	blue	12mm	ovate	50 mm	mountains	white/pink	Portugal	madeira and Porto Santo, Portugal	small tree	1	6
Vaccinium reticulatum	red, yellow	14mm	oval	9.5 - 20 mm	high altitudes, volcanic ash	red, pink, yellow	Hawaii		shrub	1	3
